Change Component Comment : Designator=C111 Old Comment=Cap New Comment=470uF
Change Component Comment : Designator=C1 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C2 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C3 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C4 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C6 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C9 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C12 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C14 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C15 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C16 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C17 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C18 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C19 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C20 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C21 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C22 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C23 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C24 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C25 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C26 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C27 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C28 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C29 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C30 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C31 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C32 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C33 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C34 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C35 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C36 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C37 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C38 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C39 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C40 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C41 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C42 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C43 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C44 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C45 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C46 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C51 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C55 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C57 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C58 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C59 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C60 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C61 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C62 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C63 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C64 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C65 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C66 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C67 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C68 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C69 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C70 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C71 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C74 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C76 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C78 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C79 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C80 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C81 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C82 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C83 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C84 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C85 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C86 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C87 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C88 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C89 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C91 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C93 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C94 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C95 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C96 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C99 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C100 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C103 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C104 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C105 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C106 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C108 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C109 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C110 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C112 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C114 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C115 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C117 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C118 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C120 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C122 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C125 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C128 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C133 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C134 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C140 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C142 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C144 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C146 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C149 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C151 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C156 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C158 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C162 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C164 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C167 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C169 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C170 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C171 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C172 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C175 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C177 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C180 Old Comment=Cap Semi New Comment=0.01uF
Change Component Comment : Designator=C182 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C189 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C190 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C191 Old Comment=Cap Semi New Comment=0.1uF
Change Component Comment : Designator=C107 Old Comment=Cap Semi New Comment=1nF
Change Component Comment : Designator=C136 Old Comment=Cap Semi New Comment=1nF
Change Component Comment : Designator=C72 Old Comment=Cap Semi New Comment=18pF
Change Component Comment : Designator=C73 Old Comment=Cap Semi New Comment=18pF
Change Component Comment : Designator=C137 Old Comment=Cap Semi New Comment=18pF
Change Component Comment : Designator=C135 Old Comment=Cap Semi New Comment=33pF
Change Component Comment : Designator=C147 Old Comment=Cap Semi New Comment=47pF
Change Component Comment : Designator=C148 Old Comment=Cap Semi New Comment=47pF
Change Component Comment : Designator=C154 Old Comment=Cap Semi New Comment=47uF
Change Component Comment : Designator=C126 Old Comment=Cap Semi New Comment=68pF
Change Component Comment : Designator=C5 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C10 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C11 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C50 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C54 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C56 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C75 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C77 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C90 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C98 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C102 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C113 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C116 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C119 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C121 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C124 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C127 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C130 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C138 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C139 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C141 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C143 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C150 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C155 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C157 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C163 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C168 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C174 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C178 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C181 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C184 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C185 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=C186 Old Comment=Cap Semi New Comment=100pF
Change Component Comment : Designator=L1 Old Comment=Inductor New Comment=33nH
Change Component Comment : Designator=L2 Old Comment=Inductor New Comment=33nH
Change Component Comment : Designator=L3 Old Comment=Inductor New Comment=33nH
Change Component Comment : Designator=R12 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R76 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R77 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R79 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R80 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R81 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R82 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R83 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R93 Old Comment=Res3 New Comment=1.2K
Change Component Comment : Designator=R69 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R70 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R71 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R84 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R85 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R88 Old Comment=Res3 New Comment=1K
Change Component Comment : Designator=R4 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R5 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R6 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R7 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R13 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R14 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R15 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R16 Old Comment=Res3 New Comment=3.3K
Change Component Comment : Designator=R26 Old Comment=Res3 New Comment=4.7K
Change Component Comment : Designator=R36 Old Comment=Res3 New Comment=4.7K
Change Component Comment : Designator=R38 Old Comment=Res3 New Comment=4.7K
Change Component Comment : Designator=R46 Old Comment=Res3 New Comment=5M
Change Component Comment : Designator=R33 Old Comment=Res3 New Comment=6.49K
Change Component Comment : Designator=R90 Old Comment=Res3 New Comment=6.49K
Change Component Comment : Designator=R1 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R8 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R9 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R10 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R17 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R18 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R21 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R23 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R24 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R34 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R35 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R37 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R39 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R40 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R41 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R43 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R44 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R49 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R55 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R56 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R57 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R58 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R67 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R87 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R89 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R91 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R92 Old Comment=Res3 New Comment=10K
Change Component Comment : Designator=R19 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R22 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R27 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R29 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R30 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R51 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R52 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R53 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R54 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R72 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R73 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R74 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R75 Old Comment=Res3 New Comment=33
Change Component Comment : Designator=R20 Old Comment=Res3 New Comment=49.9
Change Component Comment : Designator=R25 Old Comment=Res3 New Comment=49.9
Change Component Comment : Designator=R28 Old Comment=Res3 New Comment=49.9
Change Component Comment : Designator=R32 Old Comment=Res3 New Comment=49.9
Change Component Comment : Designator=R68 Old Comment=Res3 New Comment=49.9
Change Component Comment : Designator=R11 Old Comment=Res3 New Comment=270
Change Component Comment : Designator=R42 Old Comment=Res3 New Comment=270
Change Component Comment : Designator=R45 Old Comment=Res3 New Comment=270
Change Component Comment : Designator=R50 Old Comment=Res3 New Comment=698
Change Component Comment : Designator=R59 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R60 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R61 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R62 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R63 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R64 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R65 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R66 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R78 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R86 Old Comment=Res3 New Comment=750
Change Component Comment : Designator=R2 Old Comment=Res3 New Comment=820
